imagen,algoritmo,espacio_color,k,silhouette,davies_bouldin,tiempo_seg,iou,dice
foto1,K-Means,lab,2,0.281,1.5016,3.2594,,
foto1,K-Means,lab,3,0.3093,1.3616,0.1023,,
foto1,K-Means,lab,4,0.3316,1.1641,0.1192,,
foto1,K-Means,lab,5,0.3034,1.1144,0.1352,,
foto1,K-Means,rgb,2,0.4382,0.8848,0.0531,,
foto1,K-Means,rgb,3,0.339,1.1669,0.0939,,
foto1,K-Means,rgb,4,0.3026,1.0855,0.1317,,
foto1,K-Means,rgb,5,0.3176,1.0675,0.1583,,
foto1,Fuzzy C-Means,lab,2,0.2806,1.5068,0.3224,,
foto1,Fuzzy C-Means,lab,3,0.294,1.3814,0.6029,,
foto1,Fuzzy C-Means,lab,4,0.2708,1.3152,0.8005,,
foto1,Fuzzy C-Means,lab,5,0.2836,1.292,0.9136,,
foto1,Fuzzy C-Means,rgb,2,0.4336,0.9134,0.2651,,
foto1,Fuzzy C-Means,rgb,3,0.3441,1.1556,0.4711,,
foto1,Fuzzy C-Means,rgb,4,0.3045,1.0949,0.6519,,
foto1,Fuzzy C-Means,rgb,5,0.3184,1.1295,1.2347,,
foto1,GMM,lab,2,0.1261,3.1449,0.4162,,
foto1,GMM,lab,3,0.1892,2.1868,0.5956,,
foto1,GMM,lab,4,0.203,2.5569,0.8627,,
foto1,GMM,lab,5,0.2219,2.003,0.9779,,
foto1,GMM,rgb,2,0.3496,1.1911,0.1713,,
foto1,GMM,rgb,3,0.2352,1.3033,0.2678,,
foto1,GMM,rgb,4,0.2465,1.9953,0.5137,,
foto1,GMM,rgb,5,0.1504,2.1006,0.6835,,
foto2,K-Means,lab,2,0.2962,1.5417,0.0687,,
foto2,K-Means,lab,3,0.3026,1.2894,0.1171,,
foto2,K-Means,lab,4,0.3024,1.1738,0.1728,,
foto2,K-Means,lab,5,0.3139,1.0189,0.1251,,
foto2,K-Means,rgb,2,0.4896,0.7273,0.0643,,
foto2,K-Means,rgb,3,0.3061,1.1894,0.073,,
foto2,K-Means,rgb,4,0.3148,1.0339,0.145,,
foto2,K-Means,rgb,5,0.3268,1.0234,0.1397,,
foto2,Fuzzy C-Means,lab,2,0.2708,1.5615,0.4896,,
foto2,Fuzzy C-Means,lab,3,0.2596,1.3272,1.3672,,
foto2,Fuzzy C-Means,lab,4,0.3062,1.1585,0.9669,,
foto2,Fuzzy C-Means,lab,5,0.2806,1.1993,1.1351,,
foto2,Fuzzy C-Means,rgb,2,0.4182,0.9926,0.6679,,
foto2,Fuzzy C-Means,rgb,3,0.2921,1.2407,0.7692,,
foto2,Fuzzy C-Means,rgb,4,0.3151,1.0383,2.0236,,
foto2,Fuzzy C-Means,rgb,5,0.328,1.0353,1.2626,,
foto2,GMM,lab,2,0.2331,2.3298,0.2639,,
foto2,GMM,lab,3,0.2029,3.7732,0.7585,,
foto2,GMM,lab,4,0.2225,2.2481,0.7679,,
foto2,GMM,lab,5,0.2688,1.9169,0.4391,,
foto2,GMM,rgb,2,0.3491,1.354,0.2,,
foto2,GMM,rgb,3,0.2683,1.2479,0.7452,,
foto2,GMM,rgb,4,0.2839,1.1438,0.3656,,
foto2,GMM,rgb,5,0.2831,1.4436,0.5691,,
foto3,K-Means,lab,2,0.363,1.2148,0.049,,
foto3,K-Means,lab,3,0.3633,1.1699,0.0992,,
foto3,K-Means,lab,4,0.3867,1.1286,0.1486,,
foto3,K-Means,lab,5,0.359,1.0389,0.1061,,
foto3,K-Means,rgb,2,0.4415,0.898,0.0566,,
foto3,K-Means,rgb,3,0.4444,0.9431,0.0981,,
foto3,K-Means,rgb,4,0.4184,0.888,0.107,,
foto3,K-Means,rgb,5,0.3656,1.025,0.1106,,
foto3,Fuzzy C-Means,lab,2,0.3413,1.3004,0.3786,,
foto3,Fuzzy C-Means,lab,3,0.3621,1.1862,0.5653,,
foto3,Fuzzy C-Means,lab,4,0.3291,1.0817,2.1986,,
foto3,Fuzzy C-Means,lab,5,0.3594,1.0095,1.6189,,
foto3,Fuzzy C-Means,rgb,2,0.4358,0.9122,0.2331,,
foto3,Fuzzy C-Means,rgb,3,0.4447,0.9478,0.5131,,
foto3,Fuzzy C-Means,rgb,4,0.3862,1.0698,0.9413,,
foto3,Fuzzy C-Means,rgb,5,0.3712,0.9542,1.2328,,
foto3,GMM,lab,2,0.3342,1.3722,0.1444,,
foto3,GMM,lab,3,0.2578,1.4696,0.2479,,
foto3,GMM,lab,4,0.3161,1.1378,0.4751,,
foto3,GMM,lab,5,0.2837,1.0799,0.4678,,
foto3,GMM,rgb,2,0.4418,0.8844,0.0943,,
foto3,GMM,rgb,3,0.4295,0.9529,0.1791,,
foto3,GMM,rgb,4,0.3953,0.9702,0.3336,,
foto3,GMM,rgb,5,0.3709,0.9449,0.6923,,
